state,year,drug_arrests,drug_treatment_admissions,population,poverty_rate,median_income,unemployment_rate,pct_white,pct_black,pct_hispanic,marijuana_legal,republican_gov,overdose_deaths,incarceration_rate,gov_streak,pres_vote_rep,senate_rep_pct,house_rep_pct,gov_leg_alignment,align_unified_dem,align_div_rep_gov,align_div_dem_gov,arrest_rate,treatment_rate,overdose_death_rate,criminalization_index,cj_referral_pct,mat_pct,dual_dx_pct,same_day_pct,opioid_pct,meth_pct,residential_pct,repeat_tx_pct,facilities_per_100k,beds_per_100k,public_facility_pct,private_fp_pct,medicaid_pct,capacity_utilization
Alabama,2015,9411.0,9119.0,4830620,0.1883203836449967,43623,0.0923550248149193,0.6634736327841975,0.2629194596138798,0.0400553138106495,0.0,1.0,720,954.4021294845826,9.0,60.7,0.7647058823529411,0.6857142857142857,unified_rep,0.0,0.0,0.0,194.8197125834779,188.77493986279197,14.904919037307842,1.0320210549402349,61.36132433182281,4.238590149118844,25.05322924059617,99.86422881969588,30.837322735073613,17.505193749435463,62.10821064041189,51.60230073952342,2.815373595935925,-7.680173559501678,10.294117647058822,63.97058823529412,54.41176470588235,319.0476190476191
Alabama,2016,10327.0,10139.0,4841164,0.1840163267657954,44758,0.0824062137337882,0.6618935032979671,0.2635275318084659,0.0399703459746457,0.0,1.0,740,893.9965760516136,10.0,60.7,0.7647058823529411,0.6857142857142857,unified_rep,0.0,0.0,0.0,213.316466866233,209.4331032784677,15.285580079501544,1.0185422625505474,66.4976335361731,3.4925101382107098,24.40159574468085,100.0,27.942757879063613,22.896848374555383,55.016957564728266,53.34274561913463,2.726616987154329,0.0,9.090909090909092,60.60606060606061,50.76923076923077,
Alabama,2017,10722.0,10956.0,4850771,0.1796739602073622,46472,0.0740597946721511,0.6592929247742266,0.2640705982615959,0.0408955607263257,0.0,1.0,807,854.6108994463974,11.0,62.1,0.7647058823529411,0.6923076923076923,unified_rep,0.0,0.0,0.0,221.0370268973736,225.86100230252055,16.63653056390417,0.9786418400876232,62.95941959658774,4.898278560250391,25.386313465783665,100.0,30.236922355148955,27.97716787864571,50.03518648838846,52.59842519685039,2.5769099386468666,1.9172209943532688,8.799999999999999,60.8,54.400000000000006,300.0
Alabama,2018,10315.0,16180.0,4864680,0.1748974317448749,48486,0.0661095923231376,0.6571305820732299,0.2643004267495498,0.0417593757451672,0.0,1.0,740,830.6461096634832,12.0,62.1,0.7878787878787878,0.6796116504854369,unified_rep,0.0,0.0,0.0,212.03861302285043,332.60152774694325,15.211689155299013,0.6375154511742893,52.73941843493881,16.575131810193323,24.021217479161404,99.96716107492747,42.74717475569144,25.0259321941366,40.90735382431621,53.41587195359991,2.631211097132802,0.0,10.15625,61.71875,58.59375,
Alabama,2019,8850.0,15334.0,4876250,0.1674254904204373,50536,0.058897754354519,0.6552020507562164,0.2648600871571392,0.0427841066393232,0.0,1.0,739,875.4473274792845,13.0,62.1,0.7714285714285715,0.7333333333333333,unified_rep,0.0,0.0,0.0,181.4919251473981,314.4629582158421,15.15508843886183,0.5771488196165384,53.93139219615703,10.134826325411336,27.43228602383532,100.0,40.24154038965478,28.40378261364931,42.11006038509741,52.858211962466186,2.9735965137144325,1.948218405537042,8.275862068965518,59.310344827586206,63.44827586206897,259.375
Alabama,2020,131.0,12826.0,4893186,0.1598289383843705,52035,0.0554619952388959,0.6523657592415248,0.2642347950803423,0.0435199070707714,0.0,1.0,989,782.344128866855,14.0,62.1,0.7714285714285715,0.7333333333333333,unified_rep,0.0,0.0,0.0,2.677192324183058,262.1196087784114,20.21178021845072,0.0102136285669733,50.54898943982097,9.915225500169548,24.015269824744056,100.0,38.91595615103533,29.652185681418324,42.11665989985113,55.581284478648776,3.0041776462206835,1.7166729406975332,8.16326530612245,60.544217687074834,61.267605633802816,277.77777777777777
Alabama,2021,6628.0,12013.0,4997675,0.1578512662750624,54943,0.053775561718107,0.6485021535013782,0.2633852741524809,0.0449527030068982,0.0,1.0,1333,772.273433911109,15.0,62.0,0.7878787878787878,0.7333333333333333,unified_rep,0.0,0.0,0.0,132.62166907612038,240.37177287438655,26.672402667240267,0.551735619745276,56.89757252812315,8.424697057126371,22.870734607995608,99.97835341655242,34.95075839263892,31.83811372295306,44.84221119976996,57.09186275224011,3.1814793879153807,17.948345980881108,12.57861635220126,52.83018867924528,57.324840764331206,4023.0769230769233
Alabama,2022,16805.0,12156.0,5028092,0.1572249212594319,59609,0.0511836239694407,0.6458239029834776,0.2622044306269654,0.0462217079560198,0.0,1.0,1452,814.0699987428918,16.0,62.0,0.7714285714285715,0.7227722772277227,unified_rep,0.0,0.0,0.0,334.2222059580453,241.7616861425765,28.87775323124557,1.3824448831852585,56.65884423584628,6.8833652007648185,20.33209680268504,100.0,35.240112994350284,32.570621468926554,45.8545197740113,57.205987170349246,3.162233308380197,32.07976305922804,6.289308176100629,57.23270440251572,55.06329113924051,4406.25
Alaska,2015,1212.0,4536.0,733375,0.1018642368664289,72515,0.0783933927537793,0.6237872848133629,0.0323913414010567,0.0651890233509459,1.0,0.0,121,443.7152764830904,-1.0,54.8,0.7,0.5897435897435898,div_dem_gov,0.0,0.0,1.0,165.26333731038008,618.5103119140957,16.49906255326402,0.2671957671957672,55.56215654240309,1.4795088030773782,55.27874829105272,96.3792847603502,20.6539428909602,16.836810179020564,53.67657937564728,62.66094420600859,11.999318220555647,-34.770751661837394,23.863636363636363,61.36363636363637,57.95454545454546,266.66666666666663
Alaska,2016,1006.0,4999.0,736855,0.1012788847724263,74444,0.0752581309694737,0.6196266565335107,0.0312245964267053,0.0665409069626995,1.0,0.0,129,410.3690374695023,-2.0,54.8,0.7,0.5897435897435898,div_dem_gov,0.0,0.0,1.0,136.52618222038257,678.4238418684815,17.506836487504327,0.2012402480496099,51.237384211253975,2.6007981285262143,66.6379434151946,96.44137931034484,24.160704457897637,20.528343423225092,53.06824435883324,61.28321630180367,12.756919611049664,0.0,27.659574468085108,59.57446808510638,56.38297872340425,
Alaska,2017,1004.0,5421.0,738565,0.1019190730892257,76114,0.0737553104921846,0.6153798243891871,0.0305105170161055,0.0679181927115419,1.0,0.0,141,377.7363578680203,-3.0,51.3,0.7,0.5526315789473685,div_dem_gov,0.0,0.0,1.0,135.9392876727167,733.990914814539,19.091075260809813,0.1852056816085593,46.05543710021322,4.1075924208294685,63.20582877959927,98.40531561461792,23.94011658717541,24.112347641759406,54.888712241653415,63.342175066313,12.050395022780664,6.905282541143975,26.96629213483146,59.55056179775281,55.0561797752809,303.7037037037037
Alaska,2018,1046.0,5662.0,738516,0.1080446914971263,76715,0.0708131387929446,0.6103510282783311,0.0308957422723407,0.0693092634418211,1.0,0.0,105,389.45440230097455,-4.0,51.3,0.7,0.5675675675675675,div_dem_gov,0.0,0.0,1.0,141.63538772348875,766.6726245606053,14.217701444518466,0.1847403744259979,41.91762322754896,10.295081967213116,55.4106349433854,99.5137976346912,29.64468336174118,28.267995279926577,52.18303395830601,60.49593282602992,12.32200791858267,0.0,30.76923076923077,58.24175824175825,59.34065934065934,
Alaska,2019,930.0,5127.0,737068,0.1069440737528079,77640,0.0683288389093077,0.606317191900883,0.0310107072888797,0.0703734255184053,1.0,1.0,133,361.4487156603437,2.0,51.3,0.65,0.525,unified_rep,0.0,0.0,0.0,126.1756038791536,695.593893643463,18.0444680816424,0.1813926272674078,41.08887854816194,15.491901619676064,33.21507011319479,99.36603773584906,31.373725254949008,33.113377324535094,53.13437312537492,62.34039357067748,13.02457846494489,6.2409438477860935,29.166666666666668,54.16666666666666,61.458333333333336,312.5
Alaska,2020,808.0,4252.0,736990,0.1033699587876766,77790,0.0683295974270076,0.5969945318118292,0.0308280980746007,0.0719941925942007,1.0,1.0,146,367.1542272877044,3.0,51.3,0.65,0.6052631578947368,unified_rep,0.0,0.0,0.0,109.63513751882658,576.9413424876864,19.81030950216421,0.1900282220131703,40.22739577693557,18.57292759706191,24.90340030911901,99.01251983777112,30.87952439237629,28.991082357055436,48.05035845427522,60.53552677633882,14.111453344007382,4.070611541540592,28.846153846153843,56.730769230769226,56.310679611650485,275.0
